gaia_source_id,gaia_ra,gaia_dec,gaia_l,gaia_b,gaia_parallax,gaia_parallax_error,gaia_phot_g_mean_mag,gaia_bp_rp,gaia_ruwe,gaia_ag_gspphot,gaia_abs_mag_g,gaia_parallax_over_error,asassn_asassn_id,asassn_ra,asassn_dec,asassn_asassn_mag,asassn_amplitude_asassn,asassn_period_asassn,asassn_class,asassn_Prob,asassn_HJD,asassn_Plx,asassn_e_Plx,asassn_pmRA,asassn_e_pmRA,asassn_pmDE,asassn_e_pmDE,asassn_Vt,asassn_Dist,asassn_WISEA,asassn_J-K,asassn_W1-W2,asassn_APASS,asassn_B-V,asassn_E(B-V),asassn_Ref,asassn_GaiaDR3,asassn_GALEX,asassn_TIC,asassn_pm,asassn_URL,asassn_2M,separation_arcsec,position_match_ok,gaia_asassn_mag_delta,magnitude_match_ok,color_match_ok,crossmatch_quality_ok
5937082247111854848,251.61386067502823,-51.54105945499765,335.14337882544373,-4.010476591472609,0.3721705540060401,0.037119865,10.655378,3.3843927,1.0782588,,-1.4909119553086025,10.02618285400661,J164627.33-513227.8,251.61386,-51.54106,12.35,0.27,,L,0.996,2458377.50578,0.3722,0.0371,-3.143,0.038,-6.667,0.029,15.26986,2287.98169,J164627.33-513227.7,1.428,0.021,,,0.749,IX,5937082247111854848,,48708721,7.371,URL,2M,0.0024766588757064215,True,1.694621999999999,True,True,True
5902647428334535936,230.1984313152491,-48.55624968622912,326.8045788074056,7.269586569169253,0.179660639294528,0.030921701,12.494673,3.1032715,1.2051563,,-1.2330622964132942,5.810179695306154,J152047.62-483322.5,230.19843,-48.55625,13.9,0.15,32.619,SR,0.997,2457796.79710,0.1797,0.0309,-3.157,0.032,-1.379,0.031,3.08918,5286.02588,J152047.62-483322.4,1.299,-0.163,,,0.345,IX,5902647428334535936,,135633154,3.445,URL,2M,0.003331307712318128,True,1.4053269999999998,True,True,True
5902322831887097728,227.12314072800345,-49.88858905013796,324.37663527138045,7.189686483191212,0.5467165624493948,0.074556194,11.741091,4.913315,1.1633297,,0.4299021539046901,7.332946239844201,J150829.55-495318.9,227.12314,-49.88859,14.92,0.41,579.16,SR,0.997,2458182.72269,0.5467,0.0746,-7.259,0.084,-5.186,0.075,19.25285,2196.37329,J150829.59-495318.9,1.535,0.089,,,0.372,IX,5902322831887097728,,121857799,8.921,URL,2M,0.0038136760045340587,True,3.178908999999999,False,True,False
6027716463677835520,253.48537083960608,-31.700110888927824,351.3452268695138,7.574325478499262,0.2229035644672113,0.04369928,11.948243,3.9297028,0.8591275,,-1.3111719331469622,5.10085210711049,J165356.49-314200.4,253.48537,-31.70011,14.26,0.41,,L,0.995,2458342.67997,0.2229,0.0437,-1.265,0.049,-6.204,0.034,8.01274,3745.54175,J165356.48-314200.3,1.362,-0.090,,,0.379,IX,6027716463677835520,,34166477,6.331,URL,2M,0.0041053923027649505,True,2.311757,False,True,False
5542502467681492480,128.83087188058718,-35.33018978391668,255.6646484180727,3.111406799468364,0.2551492826288354,0.020009862,12.226301,2.8756332,1.2588538,,-0.7397272419061771,12.751176526296653,J083519.41-351948.7,128.83087,-35.33019,13.27,0.09,23.892,SR,0.993,2458228.64862,0.2551,0.0200,-2.726,0.019,2.016,0.019,4.05430,3963.90576,J083519.40-351948.7,1.354,-0.221,,,0.459,IX,5542502467681492480,,461798342,3.390,URL,2M,0.00557779304496541,True,1.0436990000000002,True,True,True
5937104477864563840,251.02469921235087,-51.28614213236704,335.0983181175003,-3.565523188050722,0.3002572475573495,0.058550056,13.048143,4.648446,1.0262108,,0.4356104956316038,5.128214523951087,J164405.93-511710.1,251.0247,-51.28614,15.45,0.29,342.84,SR,1.000,2457904.55962,0.3003,0.0586,-5.287,0.060,-7.823,0.047,14.27014,3136.28101,J164405.93-511710.0,1.609,-0.120,,,0.952,IX,5937104477864563840,,43122683,9.442,URL,2M,0.00787870845906016,True,2.4018569999999997,False,True,False
6030107179908899200,255.64204241159837,-28.390669423394208,355.1405288025611,8.122104100884103,0.4409944324423648,0.05891877,11.28969,3.5137768,1.3330635,,-0.48814446734132844,7.4847868080471605,J170234.09-282326.4,255.64204,-28.39067,12.83,0.21,33.085,SR,0.996,2457868.91868,0.4410,0.0589,2.132,0.069,-0.542,0.044,4.61267,2260.54126,J170234.09-282326.5,1.323,-0.059,,,0.343,IX,6030107179908899200,,20129822,2.200,URL,2M,0.007914623430859585,True,1.5403099999999998,True,True,True
423159251960945024,0.0939034318963239,59.099808483993634,116.40656639447263,-3.123483344869669,0.1142203713977657,0.021645911,13.601073,3.7339344,1.1389215,3.2041,-4.3143091601077685,5.2767643458279805,J000022.54+590559.3,0.0939,59.09981,15.28,0.28,264.92,SR,1.000,2457241.99914,0.1142,0.0216,-1.534,0.021,-0.419,0.021,1.31005,5753.60596,J000022.53+590559.3,1.601,-0.195,,,0.837,IX,423159251960945024,,346455740,1.590,URL,2M,0.00836907888972852,True,1.6789269999999998,True,True,True
424416131191842048,12.758626274230556,58.12337128120189,122.87847655206208,-4.748336856984111,0.8216506231262435,0.026500884,15.309223,1.1750851,1.0072163,0.0173,4.865358944737097,31.0046496232444,J005102.07+580724.1,12.75863,58.12337,15.31,0.39,0.31574,EW,1.000,2457974.97047,0.8217,0.0265,0.084,0.021,-1.101,0.026,4.48647,1166.59814,J005102.01+580724.1,0.567,-0.054,,,0.411,IX,424416131191842048,,445286995,1.104,URL,2M,0.008452511359893684,True,0.0007770000000011379,True,True,True
423311259446113536,0.5700153403570616,59.96874949419456,116.81180821467898,-2.3175845023406274,0.3244229207889305,0.027308919,11.427564,3.7144327,0.89804906,,-1.0168783502868024,11.879742321141693,J000216.80+595807.5,0.57002,59.96875,12.51,1.39,390.01,SR,1.000,2457317.87940,0.3244,0.0273,-5.820,0.026,-1.266,0.030,9.81626,2876.03613,J000216.83+595807.4,2.275,0.590,,,1.094,IX,423311259446113536,,418409011,5.956,URL,2M,0.008590482747746231,True,1.0824359999999995,True,True,True
